Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
LSTM,4,TAR_1,gMAD,71.22,26.26,0.16,1.64,0.71,97.48,44.77,2004.69,33.48,0.16
LSTM,4,TAR_2,gMAD,73.92,19.95,0.07,6.01,0.06,93.87,57.38,3292.48,45.16,0.15
LSTM,4,ENTIRE,gMSE,69.66,26.02,0.26,3.97,0.08,95.68,36.93,1363.7,26.38,0.17
LSTM,4,TBR_2,gMSE,48.98,0,0,50.55,0.47,48.98,32.83,1077.97,25.74,0.54
LSTM,4,TBR_1,gMSE,34.87,0,0,64.41,0.72,34.87,31.84,1013.6,23.63,0.38
LSTM,4,TIR,gMSE,70.24,29.36,0.39,0,0.01,99.6,28.97,839.21,20.66,0.17
LSTM,4,TAR_1,gMSE,74,24.12,0.11,1.6,0.17,98.12,41.65,1734.34,31.08,0.15
LSTM,4,TAR_2,gMSE,70.95,23.17,0.05,5.82,0.01,94.12,59.22,3506.91,47.79,0.16
Linear,2,ENTIRE,cSigp01MSE,88.05,10.72,0.02,1.21,0,98.77,20.1,404.07,14.37,0.1
Linear,2,TBR_2,cSigp01MSE,93.18,0,0,6.8,0.02,93.18,14.08,198.25,11.04,0.23
Linear,2,TBR_1,cSigp01MSE,71.15,0,0,28.84,0.01,71.15,15.93,253.64,11.87,0.19
Linear,2,TIR,cSigp01MSE,85.15,14.83,0.02,0,0,99.98,18.44,340.07,13.06,0.11
Linear,2,TAR_1,cSigp01MSE,93.61,6.25,0.02,0.12,0.01,99.86,21.54,464.04,15.46,0.07
Linear,2,TAR_2,cSigp01MSE,97.03,2.79,0.01,0.17,0,99.82,26.14,683.47,20.12,0.07
Linear,2,ENTIRE,cSigp06MSE,88.07,10.7,0.02,1.22,0,98.77,20.11,404.4,14.38,0.1
Linear,2,TBR_2,cSigp06MSE,93.14,0,0,6.84,0.02,93.14,14.1,198.88,11.08,0.23
Linear,2,TBR_1,cSigp06MSE,71.04,0,0,28.95,0.01,71.04,15.93,253.79,11.89,0.19
Linear,2,TIR,cSigp06MSE,85.19,14.79,0.02,0,0,99.98,18.41,338.88,13.04,0.11
Linear,2,TAR_1,cSigp06MSE,93.61,6.25,0.02,0.12,0.01,99.86,21.56,464.73,15.48,0.07
Linear,2,TAR_2,cSigp06MSE,97.01,2.81,0.01,0.17,0,99.82,26.29,691.07,20.27,0.07
Linear,2,ENTIRE,cSigp01,87.89,11.58,0.03,0.49,0,99.47,20.81,432.87,14.44,0.1
Linear,2,TBR_2,cSigp01,97.18,0,0,2.8,0.02,97.18,11.32,128.03,6.58,0.14
Linear,2,TBR_1,cSigp01,89.15,0,0,10.84,0.02,89.15,13.44,180.77,8.65,0.14
Linear,2,TIR,cSigp01,84.15,15.82,0.04,0,0,99.97,19.57,382.8,13.4,0.11
Linear,2,TAR_1,cSigp01,92.47,7.36,0.03,0.13,0.02,99.83,22.89,523.77,16.35,0.08
Linear,2,TAR_2,cSigp01,96.94,2.85,0.02,0.19,0,99.79,24.84,617.15,18.55,0.06
Linear,2,ENTIRE,cSigp06,88.5,10.85,0.02,0.63,0,99.35,20.8,432.77,14.63,0.1
Linear,2,TBR_2,cSigp06,96.41,0,0,3.57,0.02,96.41,11.2,125.37,7.01,0.15
Linear,2,TBR_1,cSigp06,85.97,0,0,14.02,0.01,85.97,13.26,175.7,8.57,0.14
Linear,2,TIR,cSigp06,85.43,14.55,0.03,0,0,99.98,18.69,349.42,12.86,0.1
Linear,2,TAR_1,cSigp06,92.57,7.24,0.02,0.16,0.01,99.81,23.09,533.32,16.96,0.08
Linear,2,TAR_2,cSigp06,96.4,3.35,0.01,0.24,0,99.75,27.82,773.88,21.81,0.07
Linear,2,ENTIRE,gMAD,87.7,11.67,0.04,0.59,0,99.37,20.86,434.94,14.48,0.1
Linear,2,TBR_2,gMAD,96.65,0,0,3.33,0.02,96.65,11.45,131.14,6.64,0.14
Linear,2,TBR_1,gMAD,86.56,0,0,13.42,0.02,86.56,13.91,193.48,8.86,0.14
Linear,2,TIR,gMAD,83.97,15.98,0.04,0,0,99.95,19.77,390.71,13.58,0.11
