Algorithm,PH,Range,Function,A,B,C,D,E,A + B,RMSE,MSE,MAE,MAPE
LSTM,4,TBR_2,gMSE,36.49,0,0,-36.6,0.11,36.49,-7.08,-514.93,-10.34,-0.21
LSTM,4,TBR_1,gMSE,26.73,0,0,-26.91,0.19,26.73,-4.31,-293.39,-7.56,-0.13
LSTM,4,TIR,gMSE,-1.32,1.16,0.14,0,0.01,-0.16,2.19,122.14,1.16,0.01
LSTM,4,TAR_1,gMSE,3.62,-3.61,0.04,-0.21,0.15,0.01,-1.55,-131.75,-2.73,-0.01
LSTM,4,TAR_2,gMSE,8.86,-7.12,0.02,-1.77,0.01,1.74,-6.98,-875.01,-7.65,-0.02
Linear,2,ENTIRE,gMSE,-0.28,0.51,0.01,-0.24,0,0.23,0.29,12.02,0.11,0
Linear,2,TBR_2,gMSE,1.34,0,0,-1.34,0,1.34,-1.21,-31.72,-1.86,-0.04
Linear,2,TBR_1,gMSE,5.76,0,0,-5.77,0,5.76,-0.73,-22.37,-1.21,-0.02
Linear,2,TIR,gMSE,-0.73,0.72,0.01,0,0,-0.01,0.72,27.35,0.45,0
Linear,2,TAR_1,gMSE,-0.4,0.4,0.01,0,0,0,0.5,21.99,0.35,0.01
Linear,2,TAR_2,gMSE,0.18,-0.16,0.01,-0.03,0,0.02,-1.5,-74.19,-1.61,0
Linear,4,ENTIRE,gMSE,-0.52,0.85,0.26,-0.64,0.04,0.33,0.66,48.71,0.35,0.01
Linear,4,TBR_2,gMSE,17.73,0,0,-17.88,0.15,17.73,-1.58,-115.5,-3.3,-0.07
Linear,4,TBR_1,gMSE,9.06,0,0,-9.32,0.26,9.06,-0.36,-27.74,-1.94,-0.03
Linear,4,TIR,gMSE,-2.47,2.15,0.32,0,0.01,-0.32,2.59,170.2,1.83,0.01
Linear,4,TAR_1,gMSE,-0.6,0.36,0.24,-0.08,0.09,-0.24,0.96,73.89,0.43,0
Linear,4,TAR_2,gMSE,5.31,-4.59,0.1,-0.83,0.01,0.72,-5.91,-606.16,-6.52,-0.02
